Category,name,mrp,discountPercent,availableQuantity,discounted_mrp,weightInGms,outOfStock,quantity
Fruits & Vegetables,Onion,25,16,3,21,1000,FALSE,1
Fruits & Vegetables,Tomato Hybrid,42,16,3,35,1000,FALSE,1
Fruits & Vegetables,Tender Coconut,51,15,3,43,58,FALSE,1
Fruits & Vegetables,Coriander Leaves,20,15,3,17,100,FALSE,100
Fruits & Vegetables,Ladies Finger ,14,14,3,12,250,FALSE,250
Fruits & Vegetables,Potato,35,17,3,29,1000,FALSE,1
Fruits & Vegetables,Lemon,75,16,3,63,200,FALSE,200
Fruits & Vegetables,Watermelon ,58,15,3,49,58,FALSE,1
Fruits & Vegetables,Capsicum Green ,23,17,3,19,250,FALSE,250
Fruits & Vegetables,Chilli Green ,19,15,3,16,100,FALSE,100
Fruits & Vegetables,Banana Robusta,29,17,3,24,348,FALSE,6
Fruits & Vegetables,Garlic Indian ,11,18,3,9,100,FALSE,100
Fruits & Vegetables,Cauliflower,26,15,3,22,58,FALSE,1
Fruits & Vegetables,Ginger,14,14,3,12,200,FALSE,200
Fruits & Vegetables,Spinach,19,15,3,16,250,FALSE,250
Fruits & Vegetables,Muskmelon,42,16,3,35,58,FALSE,1
Fruits & Vegetables,Cabbage ,15,13,3,13,58,FALSE,1
Fruits & Vegetables,Methi,30,16,3,25,250,FALSE,250
Fruits & Vegetables,Broccoli,36,16,3,30,500,FALSE,500
Fruits & Vegetables,Sapota,30,16,3,25,348,FALSE,6
Fruits & Vegetables,Onion,68,16,3,57,3000,FALSE,3
Fruits & Vegetables,Potato,100,16,3,84,3000,FALSE,3
Fruits & Vegetables,Orange Nagpur,82,15,3,69,232,FALSE,4
Fruits & Vegetables,Mint Leaves ,11,18,3,9,100,FALSE,100
Fruits & Vegetables,Beans French,33,15,3,28,250,FALSE,250
Fruits & Vegetables,Bottle Gourd ,26,15,3,22,58,FALSE,1
Fruits & Vegetables,Banana Elaichi ,58,15,3,49,348,FALSE,6
Fruits & Vegetables,Coconut Big,36,16,3,30,58,FALSE,1
Fruits & Vegetables,Curry Leaves,13,15,3,11,50,FALSE,50
Fruits & Vegetables,Brinjal Bharta,19,15,3,16,58,FALSE,1
Fruits & Vegetables,Lettuce Iceberg,25,16,3,21,250,FALSE,250
Fruits & Vegetables,Papaya,54,16,3,45,58,FALSE,1
Fruits & Vegetables,Apple Shimla,142,16,3,119,232,FALSE,4
Fruits & Vegetables,Bitter Gourd,18,16,3,15,250,FALSE,250
Fruits & Vegetables,Brinjal Small,18,16,3,15,250,FALSE,250
Fruits & Vegetables,Sweet Corn,36,16,3,30,116,FALSE,2
Fruits & Vegetables,Spring Onion ,18,16,3,15,250,FALSE,250
Fruits & Vegetables,Bell Peppers Red & Yellow ,118,16,3,99,116,FALSE,2
Fruits & Vegetables,Pomegranate ,106,16,3,89,116,FALSE,2
Fruits & Vegetables,Sweet Lime,30,16,3,25,116,FALSE,2
Fruits & Vegetables,Baby Potato,19,15,3,16,500,FALSE,500
Fruits & Vegetables,Coccinia,32,15,3,27,250,FALSE,250
