Job_ID,title,company,location,Mode,Min Salary,Max Salary,Avg Salary,Yr/Hr,Type,Level,Industry,Job Description
3700085106,Senior System Engineer,Forge,San Francisco Bay Area,Hybrid,"1,10,000","1,45,000",127500,Yearly,Full-time,Mid-Senior level,Financial Services,"

At Forge NYSE FRGE we know our team is our greatest asset As technology innovators in the private market our vision is to deliver a richer future for everyone We live that vision through our values of being bold humble and accountable We experience the value that our vision brings to the world every day helping the teams behind the greatest innovations of our generation from space travel to planet-saving plant-based nutrition and more




Our mission is to empower more people to exercise ownership in the world’s leading private companies via a world-class technology platform with access to the largest network of buyers and sellers in the world With liquidity solutions exclusive data and insights a custody offering and a vibrant marketplace Forge’s goal is to build the best-in-class technology infrastructure to power a global private market that is transparent accessible and seamless for companies their employees and investors Through Forge employees can sell their private shares employers can reward shareholders with pre-IPO liquidity and individual and institutional investors can participate in private unicorn growth




Forges differentiated global marketplace addresses rising demand among individual and institutional investors for exposure to private company stocks and it is building a growing network effect with defensible competitive advantages The Forge marketplace has over 440000 registered users and private shares have traded in more than 500 companies since inception representing over $12 billion in volume across over 21000+ transactions




The Role

The Forge IT Operations team is responsible for designing building and maintaining the corporate infrastructure that delivers reliable secure operation of our corporate IT ecosystem and SaaS services




In this role you will be responsible for the hands-on configuration and administration of the endpoint infrastructure and network to ensure that Forge employees can efficiently and securely perform their day-to-day duties The Senior Microsoft 365 Engineer will design implement maintain and support our growing endpoints and network You will be part of the IT Operations team responsible for designing and developing scalable maintainable available infrastructure architectures that meet our business objectives You will work closely across the IT Operation team to continuously improve and automate our ability to perform and adjust to new challenges You love working with a skilled energetic and motivated team and are passionate about providing high-quality operational support while continuously improving quality automating and honing your skills While being motivated goal-oriented persistent and a skilled negotiator You will strive to implement a strategy of service management and operational best practices relevant to Forge’s corporate infrastructure with a strategic view to meet the current needs while considering future direction




In this role you will be called upon to display initiative toward improvement and optimization Our ideal candidate will have over five years of experience managing network infrastructure and endpoints experience with Microsoft Intune and Cisco Meraki Juniper and Ubiquiti network technologies with excellent documentation communication and project management skills and aspires to join a high-performance team of technology enthusiasts providing quality customer service and effective technical solutions in a fast-paced dynamic team-oriented environment




You must live in the Bay Area to be considered for the role




Responsibilities

Provide administration maintenance and technical support of Azure AD/Intune Automox and Slack with extended support and administration of other key systems such as Microsoft 365 Okta 1Password Zoom Egnyte Asana HubSpot and Atlassian Jira/Confluence
Identify plan and architect supported IT Operations systems and ensure IT systems and operational processes align with industry best practices and regulatory and compliance requirements
Perform daily operations tasks such as monitoring IT systems working on requests/incidents or project-related tasks resolving unpatched or vulnerable assets and responding to alerts or incidents
Configure and install various network devices eg routers switches firewalls access points VPN
Keep computers and network devices up to date by performing maintenance and deploying upgrades including service packs patches hotfixes and security configurations
Monitor performance and ensure system availability and reliability Provide escalation support to help resolve issues
Work within established configuration and change management policies to ensure awareness approval and success of changes made to the infrastructure




Qualifications

7+ years of experience in an IT Operations role and a minimum 5+ years of experience working as an IT Systems Engineer/administrator or similar role preferably within a medium/large scale public organization
Demonstrable advanced knowledge of Azure AD Intune and Endpoint Management for the management of Windows 10/11 and macOS endpoints
Demonstrable advanced knowledge of network management configuration and architecture
Experience with Microsoft 365 technologies configuration and administration eg Azure AD/Intune Defender Exchange
Deep understanding of networking protocols eg IPSEC HSRP BGP OSPF IKEv1/2 80211
Hands-on experience with monitoring network diagnostic and network analytics tools
Must be able to sit and/or stand for long periods of time in an office or home office setting while working
Located in San Francisco Bay Area




Nice to have

Working knowledge of ITIL framework
Understanding and/or familiarity working with APIs for system integrations or automation work and intermediate to advanced scripting experience using Python Bash or PowerShell highly desired
Advanced knowledge of macOS and Windows 10/11 end-user operating systems along with the following types of activities
Device configurations utilizing MDM Mobile Device Management systems
Application package management
Patching
Hardening
Anti-malware reports incidents resolution definition updates etc
System logs investigative review report generation
Knowledge of tools used in ITSM environment
Demonstrated experience in leading process improvement and organization change initiatives




For residents of San Francisco/Bay Area CA or New York NY the annual salary range for this role is $110000 - $145000 + bonus & equity Final offers may vary from the amount listed based on geography candidate experience and expertise annual bonus and other factors




Forge implements a mandatory COVID-19 Vaccination Policy which applies to all employees All employees covered by this policy are required to be fully vaccinated as a term and condition of employment at Forge Employees are considered fully vaccinated two weeks after completing primary vaccination with a COVID-19 vaccine with if applicable at least the minimum recommended interval between doses Employees must provide truthful and accurate information about their COVID-19 vaccination status and if applicable their testing results as of the first date of their employment




Employees may request an exception from this mandatory vaccination policy if the vaccine is medically contraindicated for them or medical necessity requires a delay in vaccination Employees also may be legally entitled to a reasonable accommodation if they cannot be vaccinated because of a disability or if the provisions in this policy for vaccination conflict with a sincerely held religious belief practice or observance All such requests will be handled in accordance with applicable laws and regulations




Forge is proud to be an equal opportunity employer and values diversity at our company We do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status"
3693557441,"Sr. Manager, Analytics Engineer - Biopharma",Pfizer,San Francisco,On-site,"1,13,900","1,89,700",151800,Yearly,Full-time,Mid-Senior level,Pharmaceutical Manufacturing,"
ROLE SUMMARY




Pfizer is seeking hardworking passionate and results-oriented individuals to join our Analytics Engineering team to build data foundations and tools to craft the future You will design and implement scalable extensible and highly-available data pipelines on large volume data sets that will enable impactful insights & strategy for our products Our culture is about getting things done iteratively and rapidly with open feedback and debate along the way we believe analytics is a team sport but we strive for independent decision-making and taking sensible risks Our team collaborates deeply with partners across analytics data science marketing digital business teams our mission is to drive innovation by providing the business marketing and data scientist partners best in class systems data products and tools to make decisions that drive business performance and patient experience This will include using large and complex data sources helping derive measurable insights delivering dynamic and intuitive decision tools and bringing our data to life via amazing visualizations




The ideal candidate is a self-motived teammate skilled in a broad set of data processing techniques with the ability to adapt and learn quickly provide results with limited direction and choose the best possible data processing solution is a must




ROLE RESPONSIBILITIES




Reporting to the head of Analytics Engineering this person will collaborate with data scientists reporting/data visualization specialists business marketing teams all working together to identify requirements that will derive the creation of data pipelines and other data products You will work closely with Pfizer’s Digital team to understand the architecture and internal APIs involved in upcoming and ongoing projects We are seeking an outstanding person to play a pivotal role in helping the analysts & business users make decisions using data and visualizations You will partner with key partners across the business data science & marketing teams as you design and build query friendly data structures




 Translate business requirements by business team into data and engineering specifications
 Build scalable data sets based on specifications from the available raw data and derive business metrics/insights
 Understand and Identify server APIs that needs to be instrumented for data analytics and align events for execution in already established data pipelines
 Explore and understand sophisticated data sets identify and formulate correlational rules between heterogenous sources for effective analytics and reporting
 Process clean and validate the integrity of data used for analysis
 Develop Python and Shell Scripts for data ingestion and stitching from external data sources for business insights
 Partner with data scientists to build scalable modeling features pipeline
 Work closely with analytics and data science teams to develop robust data pipeline and analytics visualization




BASIC QUALIFICATIONS




 Bachelor’s degree with 7+ years of experience OR Masters Degree with 6+ years of experience OR PhD with 2+ years of experience
 Degree preferably in engineering economics statistics computer science or related quantitative field 
 Relevant professional experience with Big Data systems pipelines and data processing
 Preferred experience in Applied Econometrics Statistics Data Mining Machine Learning Analytics Mathematics Operations Research Industrial Engineering or related field
 Practical hands-on experience with technologies like Apache Hadoop Apache Pig Apache Hive Apache Sqoop & Apache Spark
 Experience working in Dataiku is a plus but not required
 Ability to understand API Specs identify relevant API calls  extract data and implement data pipelines & SQL-friendly data structures
 Identify Data Validation rules and alerts based on data publishing specifications for data integrity and anomaly detection
 Understanding on various distributed file formats such as Apache AVRO Apache Parquet and common methods in data transformation
 Expertise in Python Unix Shell scripting and Dependency driven job schedulers
 Expertise in Core JAVA Oracle Teradata and ANSI SQL
 Familiarity with rule based tools and APIs for multi stage data correlation on large data sets is a plus!
 Candidate demonstrates a breadth of diverse leadership experiences and capabilities including the ability to influence and collaborate with peers develop and coach others oversee and guide the work of other colleagues to achieve meaningful outcomes and create business impact 




Other Job Details




Last Date to Apply for Job July 31 2023
Additional Location Information US virtual and any US Pfizer site 




The annual base salary for this position ranges from $11390000 to $18970000 In addition this position offers an annual bonus with a target of 175% of the base salary and eligibility to participate in our share based long term incentive program Benefits offered include a retirement savings plan paid vacation holiday and personal days paid caregiver/parental and medical leave and health benefits to include medical prescription drug dental and vision coverage in accordance with the terms and conditions of the applicable plans Pfizer compensation structures and benefit packages are aligned locally the US Salary range provided does not apply to the Tampa FL or any EXUS locations




Relocation assistance may be available based on business needs and/or eligibility




Sunshine Act




Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name address and the type of payments or other value received generally for public disclosure Subject to further legal review and statutory or regulatory clarification which Pfizer intends to pursue reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act Therefore if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse your name address and the amount of payments made currently will be reported to the government If you have questions regarding this matter please do not hesitate to contact your Talent Acquisition representative




EEO & Employment Eligibility




Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race color religion sex sexual orientation age gender identity or gender expression national origin disability or veteran status Pfizer also complies with all applicable national state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA Pfizer is an E-Verify employer




Marketing and Market Research"
3713357378,"Member of Technical Staff 3 - Platforms Engineer, Nutanix Cloud Platform",Nutanix,San Jose,On-site,"1,16,800","2,34,000",175400,Yearly,Full-time,Mid-Senior level,Software Development,"
Hungry Humble Honest with Heart!




The Opportunity




Do you love building scalable compute platforms? The Nutanix Cloud Platform team works on the most cutting-edge tools to solve hard scaling problems We work in a fast-paced startup mindset and look forward to adding self-initiated team members who like to take ownership and build great internal-facing platform services




Your role




Design and develop Internal Web-scale Services 
Leverage open-source projects to build systems and make contributions back to the open-source projects
Build & support internal-facing platform services that will be used by different SaaS engineering teams in the organization




What You’ll Bring




Bachelors/Masters degree in Computer Science or related field required 
3-6 years of experience designing and developing web-scale software applications
Love for programming and rock-solid in one or more languages Java Go or Python 
Good understanding of data structure and algorithms
Familiarity with OS internals concepts of distributed data management and design/ implementation tradeoffs in building clustered high-performance fault-tolerant distributed systems software
Familiarity with containers and microservices
Familiarity in designing and architecting applications on AWS Azure or GCP
Experience in container orchestration and service mesh technologies like Kubernetes Nomad Istio Consul etc will be a huge plus
Experience with containerization of stateful applications like Cassandra Elasticsearch Postgres Redis etc will be a huge plus
Experience in frontend technologies such as Angular React etc will be a huge plus
Understand scaling issues and come up with product open source solutions
Understand multiple open-source distributed databases/queues/workflow systems and its tradeoffs and are capable of leveraging the right tool for the right use cases




About Your Team




Meet Yuvaraj - Hiring Manager




I joined Nutanix in March 2018 with excitement to lead the Cloud Platform team I previously worked at Owler where I scaled the engineering team and architecture to handle 15 million MAU Monthly Active Users I also worked in Minjar where I had architected and built Botmetric from the ground up
My professional career mostly revolved around product organizations and a decade of experience in building SaaS Products and platforms It gave me the opportunity to be involved in various phases of the product life cycle ideation through release I have built 3 SaaS products from scratch and evolved it over a period of and one of the products was sold to Nutanix 
I strongly believe in using the right tool for the right job This made me explore a wide set of technologies in compute and data platforms and roll out the best set of technologies which evolves to suit the ever-changing business needs
We are looking for passionate candidates who have experience in building SaaS products and good knowledge on Distributed systems




What The Team Says




This is a highly passionate team which works on leveraging open source technologies to build an internal cloud native platform for engineering teams to deploy/manage their applications
Empowering engineering teams and improving developer productivity is the motto
The team believes in designing robust and elegant systems by stitching together simple yet powerful technologies




The pay range for this position at commencement of employment is expected to be between $116800 and $234000/year however base pay offered may vary depending on multiple individualized factors including market location job-related knowledge skills and experience The total compensation package for this position may also include other elements including a sign-on bonus restricted stock units and discretionary awards in addition to a full range of medical financial and/or other benefits including 401k eligibility and various paid time off benefits such as vacation sick time and parental leave dependent on the position offered Details of participation in these benefit plans will be provided if an employee receives an offer of employment




If hired employee will be in an “at-will position” and the Company reserves the right to modify base salary as well as any other discretionary payment or compensation program at any time including for reasons related to individual performance Company or individual department/team performance and market factors"
3697747078,CapEx Program Manager,Apple,Cupertino,On-site,"1,19,900","1,81,000",150450,Yearly,Full-time,Mid-Senior level,Computers and Electronics Manufacturing,"

Summary
 
Imagine what you could do here At Apple new ideas have a way of becoming extraordinary products services and customer experiences very quickly Bring passion and dedication to your job and theres no telling what you could accomplish 


The people here at Apple don’t just build products — they craft the kind of wonder that’s revolutionized entire industries It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do from amazing technology to industry-leading environmental efforts Join Apple and help us leave the world better than we found it

 
Key Qualifications
 
3+ years of experience in manufacturing engineering or working knowledge of finance

Impeccable communication multi-tasking and management skills

Willingness and ability to travel internationally up to 20-25%

 
Description
 
Program managers are confident leaders capable of working with multi-functional teams to identify risks explore solutions reach consensus and execute mitigations quickly This requires an in-depth understanding of development and manufacturing process You will be responsible for coordinating equipment requirements between Ops Engineering and OEM Original Equipment Manufacturer 


-Work with new product teams to support product launch and sustaining activities 

-Understand the impact of cycle time changes and adjust forecasts accordingly 

-Verify demands and lead the business team to ensure equipment is tracked to delivery 

-Work with appropriate business and procurement teams to ensure support from vendors regarding setup installation repairs and maintenance 

-Build overall project budget compile budget requests and generate capitalization plan based on project timeline 

-Respond quickly to changes to the overall goals schedule and/or architecture 

-Drive multi-functional teams towards consensus of requirements 

-Calculate value of change in process/equipment requested by OEM or internal teams 

-Provide monthly/quarterly budget updates and capitalization plan 

-Succinctly communicate overall equipment status to the management team 

-Travel to support early project planning

 
Education & Experience
 
•Bachelors Degree Masters or MBA are considered a plus

 
Pay & Benefits
 
At Apple base pay is one part of our total compensation package and is determined within a range This provides the opportunity to progress as you grow and develop within a role The base pay range for this role is between $119900 and $181000 and your base pay will depend on your skills qualifications experience and location

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs Apple employees are eligible for discretionary restricted stock unit awards and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan You’ll also receive benefits including Comprehensive medical and dental coverage retirement benefits a range of discounted products and free services and for formal education related to advancing your career at Apple reimbursement for certain educational expenses — including tuition Additionally this role might be eligible for discretionary bonuses or commission payments as well as relocation Learn more about Apple Benefits

 Note Apple benefit compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program

 
Role Number 200490855

"
3688177659,Sr. BIOS Engineer,Supermicro,San Jose,On-site,"1,20,000","1,83,000",151500,Yearly,Full-time,Mid-Senior level,Computer Hardware Manufacturing,"
Job Req ID 22711




About Supermicro




Supermicro® is a Top Tier provider of advanced server storage and networking solutions for Data Center Cloud Computing Enterprise IT Hadoop/ Big Data Hyperscale HPC and IoT/Embedded customers worldwide We are the #5 fastest growing company among the Silicon Valley Top 50 technology firms Our unprecedented global expansion has provided us with the opportunity to offer a large number of new positions to the technology community We seek talented passionate and committed engineers technologists and business leaders to join us




Job Summary




Do you have passion for software development? We have an exciting role for a self-motivated Sr BIOS Engineer who has a background in hardware engineering to research design develop and test our server products BIOS Engineer will design and development of BIOS using a range of applicable technologies eg programming languages compilers assemblers debuggers ITPÂ’s Scopes and other tools and state-of-art software engineering methodologies Ideal candidates should be proactive in managing meeting schedules identifying risks and delivering high quality software




Essential Duties And Responsibilities




Includes the following essential duties and responsibilities other duties may also be assigned




 Develop UEFI BIOS for desktop and server
 Perform desktop server board and workstation UEFI BIOS porting
 Devise module codes for development
 Provide engineering support to customers on BIOS issues
 Verify BIOS System specifications
 Manage schedule of the project from design phase to production
 Test functionality and reliability and ensure product quality
 Work on related Linux kernel development and device drivers
 Study computer motherboard BIOS system specifications and configuration requirements to plan and develop reliability and compatibility
 Study and analyze the design specifications and system housing to optimize the system efficiency
 Consult and coordinate with other engineering staff to evaluate the design specifications and functions




Qualifications




 BS in Computer Science Computer Engineering or Electrical Engineering
 Minimum 8 year of relevant work experience in low level software development
 Minimum 8 year of experience with either Legacy BIOS code or UEFI code
 Strong background in software design with C C++ and/or Assembly is a plus
 Solid understanding of PC hardware architecture BIOS and Linux is required
 Work independently and be self-motivated
 Must be a team player have passion for software development and have excellent communication skills




Salary Range




$120000 - $183000




The salary offered will depend on several factors including your location level education training specific skills years of experience and comparison to other employees already in this role In addition to a comprehensive benefits package candidates may be eligible for other forms of compensation such as participation in bonus and equity award programs




EEO Statement




Supermicro is an Equal Opportunity Employer and embraces diversity in our employee population It is the policy of Supermicro to provide equal opportunity to all qualified applicants and employees without regard to race color religion sex sexual orientation gender identity national origin age disability protected veteran status or special disabled veteran marital status pregnancy genetic information or any other legally protected status"
3688176935,Sr. BIOS Engineer,Supermicro,San Jose,On-site,"1,20,000","1,83,000",151500,Yearly,Full-time,Mid-Senior level,Computer Hardware Manufacturing,"
Job Req ID 22710




About Supermicro




Supermicro® is a Top Tier provider of advanced server storage and networking solutions for Data Center Cloud Computing Enterprise IT Hadoop/ Big Data Hyperscale HPC and IoT/Embedded customers worldwide We are the #5 fastest growing company among the Silicon Valley Top 50 technology firms Our unprecedented global expansion has provided us with the opportunity to offer a large number of new positions to the technology community We seek talented passionate and committed engineers technologists and business leaders to join us




Job Summary




Do you have passion for software development? We have an exciting role for a self-motivated Sr BIOS Engineer who has a background in hardware engineering to research design develop and test our server products BIOS Engineer will design and development of BIOS using a range of applicable technologies eg programming languages compilers assemblers debuggers ITPÂ’s Scopes and other tools and state-of-art software engineering methodologies Ideal candidates should be proactive in managing meeting schedules identifying risks and delivering high quality software




Essential Duties And Responsibilities




Includes the following essential duties and responsibilities other duties may also be assigned




 Develop UEFI BIOS for desktop and server
 Perform desktop server board and workstation UEFI BIOS porting
 Devise module codes for development
 Provide engineering support to customers on BIOS issues
 Verify BIOS System specifications
 Manage schedule of the project from design phase to production
 Test functionality and reliability and ensure product quality
 Work on related Linux kernel development and device drivers
 Study computer motherboard BIOS system specifications and configuration requirements to plan and develop reliability and compatibility
 Study and analyze the design specifications and system housing to optimize the system efficiency
 Consult and coordinate with other engineering staff to evaluate the design specifications and functions




Qualifications




 BS in Computer Science Computer Engineering or Electrical Engineering
 Minimum 8 year of relevant work experience in low level software development
 Minimum 8 year of experience with either Legacy BIOS code or UEFI code
 Strong background in software design with C C++ and/or Assembly is a plus
 Solid understanding of PC hardware architecture BIOS and Linux is required
 Work independently and be self-motivated
 Must be a team player have passion for software development and have excellent communication skills




Salary Range




$120000 - $183000




The salary offered will depend on several factors including your location level education training specific skills years of experience and comparison to other employees already in this role In addition to a comprehensive benefits package candidates may be eligible for other forms of compensation such as participation in bonus and equity award programs




EEO Statement




Supermicro is an Equal Opportunity Employer and embraces diversity in our employee population It is the policy of Supermicro to provide equal opportunity to all qualified applicants and employees without regard to race color religion sex sexual orientation gender identity national origin age disability protected veteran status or special disabled veteran marital status pregnancy genetic information or any other legally protected status"
3713349542,Sr. Software Engineer,Salesforce,San Francisco,On-site,"1,22,600","2,20,000",171300,Yearly,Full-time,Mid-Senior level,Software Development,"
To get the best candidate experience please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts




Job Category




Software Engineering




Job Details




About Salesforce




We’re Salesforce the Customer Company inspiring the future of business with AI+ Data +CRM Leading with our core values we help companies across every industry blaze new trails and connect with customers in a whole new way And we empower you to be a Trailblazer too — driving your performance and career growth charting new paths and improving the state of the world If you believe in business as the greatest platform for change and in companies doing well and doing good – you’ve come to the right place




Sr Software Engineer




Location San Francisco CA or Bellevue WA




*IN SCHOOL OR GRADUATED WITHIN THE LAST 12 MONTHS? PLEASE VISIT FUTUREFORCE FOR OPPORTUNITIES*




About Us




We are on a mission to transform the developer experience within the Hyperforce program by building cutting-edge tooling through our Terraform Infrastructure Developer Experience team Our team is passionate about simplifying workflows and making the public cloud accessible and easy for developers We leverage technologies like Golang Terraform AWS Kubernetes and Spinnaker to craft well-tested production-grade tooling that empowers developers to effortlessly deploy infrastructure




Role Description




As a Software Engineer youll be at the forefront of creating a unified experience across multiple cloud providers You will be on a remote-first team across the US collaborating with multi-functional teams and driving the development of packaged Terraform resources and pipeline definitions to extend development teams services You will play a pivotal role in improving the Infrastructure as Code paradigm and redefining how developers interact with cloud resources




Responsibilities




Assist in crafting developing and maintaining well-architected production-grade Terraform tooling
Collaborate closely with other teams to understand developer pain points and requirements ensuring the creation of tools that simplify workflows and improve developer experience
Write high-quality Terraform and Golang code to support packaged manifests infrastructure deployment and pipeline automation
Explore and implement strategies for creating resources seamlessly across AWS GCP Azure AliCloud etc to offer a unified developer experience
Provide technical mentorship code reviews and common practices to the team members to ensure high-quality work
Support customers and internal partners by solving issues resolving queries and providing effective solutions
Cultivate a culture of innovation independent thinking and proactive problem-solving within the team
Collaborate with teams operating in different time zones demonstrating excellent communication and multi-functional collaboration skills




Qualifications




A related technical degree required with 3-5 years of experience
Proficiency in Golang and Terraform with hands-on experience in designing and deploying cloud resources using Kubernetes AWS and related technologies
Strong understanding of IaC principles and standard processes
Experience with cloud providers such as GCP AWS Azure or AliCloud
Excellent problem-solving skills and the ability to drive sophisticated technical initiatives
Strong communication skills to interact optimally with developers partners and multi-functional teams
Ability to work independently adapt to evolving priorities and deliver results in a dynamic remote-first environment




Accommodations




If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form




Posting Statement




At Salesforce we believe that the business of business is to improve the state of our world Each of us has a responsibility to drive Equality in our communities and workplaces We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay employee resource groups inclusive benefits and more Learn more about Equality at wwwequalitycom and explore our company benefits at wwwsalesforcebenefitscom




Salesforce is an Equal Employment Opportunity and Affirmative Action Employer Qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender perception or identity national origin age marital status protected veteran status or disability status Salesforce does not accept unsolicited headhunter and agency resumes Salesforce will not pay any third-party agency or company that does not have a signed agreement with Salesforce




 Salesforce welcomes all




Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring Salesforce will consider for employment qualified applicants with arrest and conviction records




For Washington-based roles the base salary hiring range for this position is $122600 to $201700




For California-based roles the base salary hiring range for this position is $133800 to $220000




Compensation offered will be determined by factors such as location level job-related knowledge skills and experience Certain roles may be eligible for incentive compensation equity benefits More details about our company benefits can be found at the following link https//wwwsalesforcebenefitscom"
3705391676,Low Code Developer (Engineer II),Bayside Solutions,Dublin,Hybrid,"1,24,800","1,45,600",135200,Yearly,Full-time,Mid-Senior level,Staffing and Recruiting,"

Low Code Developer Engineer II

W2 Contract to Hire

Salary Range $124800 - $145600 per year

Location Dublin CA - Hybrid Role

Role Qualifications and Required Skills

Experience with K2 nice to have or other workflow tools
Must have Experience with Robotic Process Automation RPA
5+ years of software application design and development experience with a minimum of 3 years with low code tools
In-depth knowledge of Microsoft Power Platform with a focus on PowerApps and Power Automate including RPA
Experience with low-code business application development
Experience with implementing Microsoft Power Platform projects
Experience with building model-driven and canvas PowerApps
Experience with designing and implementing Power Automate flows
Basic SQL HTML CSS JavaScript JSON and general Web 20 techniques experience
Ability to diagnose application issues with low code instead of traditional coding 80/20 rule
Understanding of application security with a general knowledge of current security threats
Conceptual and practical understanding of IT Infrastructure products and services such as networking protocols encryption and other technologies
Demonstrated ability to learn and acquire new technologies in the areas of web & mobile application development
Able to provide accurate estimates of timeframes necessary to complete potential projects and develop milestones and project implementation plans
Ability to analyze and creatively solve complex technical problems
Ability to work in a group setting and independently




Preferred Skills and Experience

Proficient in Microsoft Office products
Familiar with modern development practices Agile DevOps Continuous Integration / Deployment etc
Familiar with Monitoring tools like Dynatrace or Applications Insight




Education

Bachelors degree in computer science information technology or related field or equivalent combination of education industry certifications and relevant experience







Bayside Solutions Inc may collect your personal information during the position application process Please reference Bayside Solutions Incs CCPA Privacy Policy at wwwbaysidesolutionscom



Desired Skills and Experience
Low Code Developer Engineer II K2 RPA PowerApps Power Automate SQL HTML CSS JavaScript"
3705391604,Low Code Developer (Engineer II),Bayside Solutions,San Ramon,Hybrid,"1,24,800","1,45,600",135200,Yearly,Full-time,Mid-Senior level,Staffing and Recruiting,"

Low Code Developer Engineer II

W2 Contract to Hire

Salary Range $124800 - $145600 per year

Location Dublin CA - Hybrid Role

Role Qualifications and Required Skills

Experience with K2 nice to have or other workflow tools
Must have Experience with Robotic Process Automation RPA
5+ years of software application design and development experience with a minimum of 3 years with low code tools
In-depth knowledge of Microsoft Power Platform with a focus on PowerApps and Power Automate including RPA
Experience with low-code business application development
Experience with implementing Microsoft Power Platform projects
Experience with building model-driven and canvas PowerApps
Experience with designing and implementing Power Automate flows
Basic SQL HTML CSS JavaScript JSON and general Web 20 techniques experience
Ability to diagnose application issues with low code instead of traditional coding 80/20 rule
Understanding of application security with a general knowledge of current security threats
Conceptual and practical understanding of IT Infrastructure products and services such as networking protocols encryption and other technologies
Demonstrated ability to learn and acquire new technologies in the areas of web & mobile application development
Able to provide accurate estimates of timeframes necessary to complete potential projects and develop milestones and project implementation plans
Ability to analyze and creatively solve complex technical problems
Ability to work in a group setting and independently




Preferred Skills and Experience

Proficient in Microsoft Office products
Familiar with modern development practices Agile DevOps Continuous Integration / Deployment etc
Familiar with Monitoring tools like Dynatrace or Applications Insight




Education

Bachelors degree in computer science information technology or related field or equivalent combination of education industry certifications and relevant experience







Bayside Solutions Inc may collect your personal information during the position application process Please reference Bayside Solutions Incs CCPA Privacy Policy at wwwbaysidesolutionscom



Desired Skills and Experience
Low Code Developer Engineer II K2 RPA PowerApps Power Automate SQL HTML CSS JavaScript"
3705391260,Low Code Developer (Engineer II),Bayside Solutions,Dublin,Hybrid,"1,24,800","1,45,600",135200,Yearly,Full-time,Mid-Senior level,Staffing and Recruiting,"

Low Code Developer Engineer II

W2 Contract to Hire

Salary Range $124800 - $145600 per year

Location Dublin CA - Hybrid Role

Role Qualifications and Required Skills

Experience with K2 nice to have or other workflow tools
Must have Experience with Robotic Process Automation RPA
5+ years of software application design and development experience with a minimum of 3 years with low code tools
In-depth knowledge of Microsoft Power Platform with a focus on PowerApps and Power Automate including RPA
Experience with low-code business application development
Experience with implementing Microsoft Power Platform projects
Experience with building model-driven and canvas PowerApps
Experience with designing and implementing Power Automate flows
Basic SQL HTML CSS JavaScript JSON and general Web 20 techniques experience
Ability to diagnose application issues with low code instead of traditional coding 80/20 rule
Understanding of application security with a general knowledge of current security threats
Conceptual and practical understanding of IT Infrastructure products and services such as networking protocols encryption and other technologies
Demonstrated ability to learn and acquire new technologies in the areas of web & mobile application development
Able to provide accurate estimates of timeframes necessary to complete potential projects and develop milestones and project implementation plans
Ability to analyze and creatively solve complex technical problems
Ability to work in a group setting and independently




Preferred Skills and Experience

Proficient in Microsoft Office products
Familiar with modern development practices Agile DevOps Continuous Integration / Deployment etc
Familiar with Monitoring tools like Dynatrace or Applications Insight




Education

Bachelors degree in computer science information technology or related field or equivalent combination of education industry certifications and relevant experience







Bayside Solutions Inc may collect your personal information during the position application process Please reference Bayside Solutions Incs CCPA Privacy Policy at wwwbaysidesolutionscom



Desired Skills and Experience
Low Code Developer Engineer II K2 RPA PowerApps Power Automate SQL HTML CSS JavaScript"
